"merchant_sku","merchant_sku_norm","components","created_at","updated_at"
"HIM1","HIM1","[{""qty"":1,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""}]","2025-12-15 08:11:44.78944","2025-12-15 08:11:44.78944"
"HIM3","HIM3","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""}]","2025-12-15 07:58:37.811745","2025-12-15 07:58:37.811745"
"HIM3LIVE","HIM3LIVE","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""TP-COF"",""component_merchant_sku_norm"":""TP-COF""},{""qty"":1,""component_merchant_sku"":""TP-HERCOF"",""component_merchant_sku_norm"":""TP-HERCOF""}]","2025-12-15 08:07:25.698586","2025-12-15 08:07:25.698586"
"HIM3SHA/V2","HIM3SHA/V2","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""SHAKER"",""component_merchant_sku_norm"":""SHAKER""}]","2025-12-15 08:18:32.310183","2025-12-15 08:18:32.310183"
"HIM3TP","HIM3TP","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""TP-COF"",""component_merchant_sku_norm"":""TP-COF""}]","2025-12-15 07:59:55.953655","2025-12-15 07:59:55.953655"
"HIM3TUMB-V2","HIM3TUMB-V2","[{""qty"":3,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""TUMB-V2-BLACK"",""component_merchant_sku_norm"":""TUMB-V2-BLACK""}]","2025-12-15 08:19:46.252638","2025-12-15 08:19:46.252638"
"HIM6","HIM6","[{""qty"":6,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""}]","2025-12-15 07:59:23.347011","2025-12-15 07:59:23.347011"
"HIMHER1","HIMHER1","[{""qty"":1,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""},{""qty"":1,""component_merchant_sku"":""HERCOF1"",""component_merchant_sku_norm"":""HERCOF1""}]","2025-12-15 08:01:59.19176","2025-12-15 08:01:59.19176"
"SMSU","SMSU","[{""qty"":1,""component_merchant_sku"":""spr/x1"",""component_merchant_sku_norm"":""SPR/X1""},{""qty"":1,""component_merchant_sku"":""buku/SM"",""component_merchant_sku_norm"":""BUKU/SM""}]","2025-12-15 08:06:27.113931","2025-12-15 08:06:27.113931"
"SPU1","SPU1","[{""qty"":1,""component_merchant_sku"":""spr/x1"",""component_merchant_sku_norm"":""SPR/X1""}]","2025-12-15 08:12:09.367292","2025-12-15 08:12:09.367292"
"SPUHIM","SPUHIM","[{""qty"":1,""component_merchant_sku"":""spr/x1"",""component_merchant_sku_norm"":""SPR/X1""},{""qty"":1,""component_merchant_sku"":""COF1"",""component_merchant_sku_norm"":""COF1""}]","2025-12-15 08:06:10.689518","2025-12-15 08:06:10.689518"
